Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086927,209,HAK,WUH,2011-12-30,07:15:00,182,189,[Y],32,1
Relation:couple,coflycnt
55969441,55969445,1
8224581,3,1,3,0.6521587682703587
11801958,3,19,5,0.624549422709338
70382540,3,18,6,0.990797537199992
96209862,3,31,4,-1.0
59059082,3,25,2,0.9
2091358,3,1,1,0.5418762755157853
96209860,3,31,2,-1.0
38028926,3,2,2,0.8409055049943215
16351363,3,10,2,0.5504906170570616
96209861,3,31,3,-1.0
96209858,3,30,6,-1.0
96209859,3,31,1,-1.0
6228708,3,18,1,0.58403361
96209856,3,30,4,-1.0
96209857,3,30,5,-1.0
